id	name	fa_label	capital	currency	language
1	India	هند	Delhi	Indian rupee	Tamil language
2	Azerbaijan	جمهوری آذربایجان	Baku	Azerbaijani manat	Azerbaijani language
3	Pakistan	پاکستان	Karachi	Pakistani rupee	Sindhi phrasebook
4	Turkmenistan	ترکمنستان		Turkmenistan manat	Turkmen language
5	Iraq	عراق	Baghdad	Iraqi dinar	Kurdish languages
6	United Arab Emirates	امارات متحده عربی	Abu Dhabi	United Arab Emirates dirham	Arabic language
7	Afghanistan	افغانستان	Kabul	Afghan afghani	Pashto language
8	China	چین	Beijing	Renminbi	Standard Chinese language
9	Japan	ژاپن	Tokyo	Japanese yen	Japanese phrasebook
10	China	جمهوری خلق چین	Beijing	Renminbi	Standard Chinese language
11	South Korea	کره جنوبی	Seoul	South Korean won	Korean language
12	Turkey	ترکیه	Istanbul	Turkish lira	Turkish language
13	Armenia	ارمنستان		Armenian dram	Armenian language
